Cooling Rate	Total Wire Length
14.9602	89.9297
14.2121	89.9297
13.5015	89.9297
12.8265	89.9297
12.1851	89.9297
11.5759	89.9297
10.9971	89.9297
10.4472	89.9297
9.92487	89.9297
9.42863	89.9297
8.9572	89.9297
8.50934	89.9297
8.08387	89.9297
7.67968	89.9297
7.29569	89.9297
6.93091	89.9297
6.58436	89.9297
6.25514	89.9297
5.94239	89.9297
5.64527	89.9297
5.363	89.9297
5.09485	89.9297
4.84011	89.9297
4.59811	89.9297
4.3682	89.9297
4.14979	89.9297
3.9423	89.9297
3.74519	89.9297
3.55793	89.9297
3.38003	89.9297
3.21103	89.9297
3.05048	89.9297
2.89795	89.9297
2.75306	89.9297
2.6154	89.9297
2.48463	89.9297
2.3604	89.9297
2.24238	89.9297
2.13026	89.9297
2.02375	89.9297
1.92256	89.9297
1.82643	89.9297
1.73511	89.9297
1.64836	89.9297
1.56594	89.9297
1.48764	89.9297
1.41326	89.9297
1.3426	89.9297
1.27547	89.9297
1.21169	89.9297
1.15111	89.9297
1.09355	89.9297
1.03888	89.9297
0.986932	89.9297
0.937585	89.9297
0.890706	89.9297
0.846171	89.9297
0.803862	89.9297
0.763669	89.9297
0.725486	89.9297
0.689211	89.9297
0.654751	89.9297
0.622013	89.9297
0.590913	89.9297
0.561367	81.4566
0.533299	81.4566
0.506634	81.4566
0.481302	81.4566
0.457237	79.851
0.434375	79.851
0.412656	79.851
0.392023	79.851
0.372422	79.851
0.353801	79.851
0.336111	75.7772
0.319306	75.7772
0.30334	75.7772
0.288173	75.7772
0.273765	75.7772
0.260076	75.3249
0.247073	75.3249
0.234719	75.3249
0.222983	75.3249
0.211834	75.3249
0.201242	75.3249
0.19118	75.3249
0.181621	75.3249
0.17254	75.3249
0.163913	75.3249
0.155717	75.3249
0.147931	75.3249
0.140535	75.3249
0.133508	75.3249
0.126833	75.3249
0.120491	75.3249
0.114467	75.3249
0.108743	75.3249
0.103306	75.3249
0.0981407	75.3249
0.0932337	75.3249
0.088572	75.3249
0.0841434	75.3249
0.0799363	75.3249
0.0759394	75.3249
0.0721425	75.3249
0.0685353	75.3249
0.0651086	75.3249
0.0618531	75.3249
0.0587605	75.3249
0.0558225	75.3249
0.0530313	75.3249
0.0503798	75.3249
0.0478608	75.3249
0.0454677	75.3249
0.0431944	75.3249
0.0410346	75.3249
0.0389829	74.8527
0.0370338	74.8527
0.0351821	74.8527
0.033423	74.8527
0.0317518	74.8527
0.0301642	74.8527
0.028656	74.8527
0.0272232	74.8527
0.0258621	73.3473
0.024569	73.3473
0.0233405	73.3473
0.0221735	73.3473
0.0210648	73.3473
0.0200116	73.3473
0.019011	73.3473
0.0180604	73.3473
0.0171574	73.3473
0.0162995	73.3473
0.0154846	73.3473
0.0147103	73.3473
0.0139748	73.3473
0.0132761	73.3473
0.0126123	73.3473
0.0119817	73.3473
0.0113826	73.3473
0.0108135	73.3473
0.0102728	73.3473
0.00975914	73.3473
0.00927118	73.3473
0.00880762	73.3473
0.00836724	73.3473
0.00794888	73.3473
0.00755144	73.3473
0.00717387	73.3473
0.00681517	73.3473
0.00647441	73.3473
0.00615069	73.3473
0.00584316	73.3473
0.005551	73.3473
0.00527345	73.3473
